Country,Quantity,Price,Customer ID,Hour,Year,Month,Lat,Lng
Australia,104094,6389.819999999938,22207904.0,20694,3584952,11773,-25.274398,133.775136
Austria,11341,3875.7999999999834,11338835.0,10793,1823411,6999,47.516231,14.550072
Bahrain,1157,405.02999999999975,679477.0,1402,233177,658,26.0667,50.5577
Belgium,34506,12674.100000000077,37259504.0,36654,6017809,20739,50.503887,4.469936
Bermuda,2798,84.7,0.0,340,68340,102,32.3078,-64.7505
Brazil,545,256.30999999999995,1199170.0,1064,188972,686,-14.235004,-51.92528
Canada,3657,1058.0899999999988,3800513.0,2745,458431,1986,56.130366,-106.346771
Channel Islands,21033,7221.539999999951,23040281.0,17960,3122216,10657,33.4506004,-119.3791204
Cyprus,10586,5841.519999999961,14135914.0,13186,2287724,8698,35.126413,33.429859
Czech Republic,671,78.26999999999998,319525.0,220,50275,100,49.81749199999999,15.472962
Denmark,223584,2146.1700000000073,9663502.0,9568,1531945,6010,56.26392,9.501785
EIRE,336203,92141.01999999017,227791940.0,207743,34277333,117527,53.1423672,-7.692053599999999
Europe,499,289.7999999999999,906480.0,644,120660,348,54.5259614,15.2551187
Finland,14309,4844.729999999987,12837028.0,11558,2056888,6251,61.92410999999999,25.7481511
France,271731,58317.17999999892,171548155.0,166038,27456078,97872,46.227638,2.213749
Germany,222308,58212.730999997475,206291381.0,196378,32813157,110955,51.165691,10.451526
Greece,7692,2467.680000000001,9559882.0,7056,1308614,3955,39.074208,21.824312
Hong Kong,6917,11081.759999999995,0.0,4126,707799,2063,22.3193039,114.1693611
Iceland,3162,602.22,2975627.0,3059,484550,1720,64.963051,-19.020835
Israel,5538,1313.7600000000027,4075860.0,3655,739974,2458,31.046051,34.851612
Italy,14880,6863.339999999948,17972314.0,17476,2852862,10901,41.87194,12.56738
Japan,30406,936.0300000000007,5935622.0,5109,934897,3326,36.204824,138.252924
Korea,700,120.16000000000004,676661.0,507,106530,563,35.907757,127.766922
Lebanon,444,309.03999999999985,548852.0,562,110593,151,33.854721,35.862285
Lithuania,2958,494.4099999999992,2897748.0,2350,379890,1066,55.169438,23.881275
Malta,2347,3753.239999999993,4383356.0,3552,548842,1959,35.937496,14.375416
Netherlands,375326,13360.290000000112,70577479.0,59675,9999826,33300,52.132633,5.291265999999999
Nigeria,28,99.84,408252.0,367,52260,201,9.081999,8.675277
Norway,26548,20298.27000000016,17583174.0,17556,2822928,10213,60.47202399999999,8.468945999999999
Poland,5823,1815.710000000005,6490827.0,5921,1025398,2639,51.919438,19.145136
Portugal,27955,12538.420000000035,30531611.0,30991,5052395,18297,39.39987199999999,-8.224454
South Africa,1971,1918.5600000000006,1527608.0,2210,337738,1216,-30.559482,22.937506
Saudi Arabia,80,21.16,113085.0,90,18099,18,23.885942,45.079162
Singapore,6944,13309.629999999997,4269240.0,3950,673568,1806,1.352083,103.819836
Spain,50014,15437.060000000318,46931748.0,46877,7312524,26006,40.46366700000001,-3.74922
Sweden,85462,6493.239999999976,17651025.0,15881,2643570,8866,60.12816100000001,18.643501
Switzerland,52087,11425.50000000006,37054370.0,37696,6146422,20722,46.818188,8.227511999999999
Thailand,2546,225.01999999999995,935175.0,880,150750,385,15.870032,100.992541
USA,5210,1431.2900000000031,5074008.0,5558,806188,2896,37.09024,-95.712891
United Arab Emirates,7281,2001.900000000002,5714671.0,6501,932651,2684,23.424076,53.847818
United Kingdom,9432714,3771241.7350077545,11043782844.0,12327763,1891005537,6458935,55.378051,-3.435973
West Indies,395,122.76999999999995,979560.0,594,108540,432,18.2345027,-66.4108475
